Score,Clinic Name
0,Vanstadensrus Clinic
1,Vanstadensrus Clinic
0,Vanstadensrus Clinic
1,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
1,Vanstadensrus Clinic
0.9091,Vanstadensrus Clinic
0.9091,Vanstadensrus Clinic
0.6667,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
1,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
1,Vanstadensrus Clinic
1,Vanstadensrus Clinic
0,Vanstadensrus Clinic
1,Vanstadensrus Clinic
1,Vanstadensrus Clinic
1,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0.875,Vanstadensrus Clinic
1,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
1,Vanstadensrus Clinic
0,Vanstadensrus Clinic
1,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0.6667,Vanstadensrus Clinic
0,Vanstadensrus Clinic
1,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
1,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
0,Vanstadensrus Clinic
1,Vanstadensrus Clinic
1,Vanstadensrus Clinic
1,Phillippolis
0,Phillippolis
1,Phillippolis
1,Phillippolis
0,Phillippolis
1,Phillippolis
1,Phillippolis
0,Phillippolis
1,Phillippolis
0,Phillippolis
1,Phillippolis
0,Phillippolis
0,Phillippolis
1,Phillippolis
0,Phillippolis
0,Phillippolis
0,Phillippolis
0,Phillippolis
0.8182,Phillippolis
0,Phillippolis
1,Phillippolis
0,Phillippolis
0,Phillippolis
0,Phillippolis
1,Phillippolis
0,Phillippolis
0,Phillippolis
1,Phillippolis
1,Phillippolis
0.8333,Phillippolis
1,Phillippolis
1,Phillippolis
0,Phillippolis
0,Phillippolis
1,Phillippolis
1,Phillippolis
0,Phillippolis
0.7576,Phillippolis
1,Phillippolis
1,Phillippolis
0,Phillippolis
1,Phillippolis
1,Phillippolis
0,Phillippolis
1,Phillippolis
1,Phillippolis
1,Phillippolis
1,Phillippolis
1,Phillippolis
1,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
0.625,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
0.9091,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
0.8333,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
1,Phekolong (Redd) Clinic
0.8485,Phekolong (Redd) Clinic
0,Phekolong (Redd) Clinic
0,Itumeleng Clinic
0,Itumeleng Clinic
0,Itumeleng Clinic
0.8095,Itumeleng Clinic
0,Itumeleng Clinic
0.7879,Itumeleng Clinic
0,Itumeleng Clinic
0,Itumeleng Clinic
1,Itumeleng Clinic
0,Itumeleng Clinic
0,Itumeleng Clinic
0,Itumeleng Clinic
0,Itumeleng Clinic
1,Itumeleng Clinic
0,Itumeleng Clinic
0.5,Itumeleng Clinic
1,Itumeleng Clinic
1,Itumeleng Clinic
0,Itumeleng Clinic
0.2,Itumeleng Clinic
0,Itumeleng Clinic
1,Itumeleng Clinic
0,Itumeleng Clinic
1,Itumeleng Clinic
1,Itumeleng Clinic
0,Itumeleng Clinic
0,Itumeleng Clinic
1,Itumeleng Clinic
0,Itumeleng Clinic
0,Itumeleng Clinic
0,Itumeleng Clinic
1,Itumeleng Clinic
1,Itumeleng Clinic
1,Itumeleng Clinic
1,Itumeleng Clinic
0,Itumeleng Clinic
0.7917,Itumeleng Clinic
1,Itumeleng Clinic
0,Itumeleng Clinic
0,Itumeleng Clinic
1,Itumeleng Clinic
1,Itumeleng Clinic
0.8788,Itumeleng Clinic
0,Itumeleng Clinic
0.4,Itumeleng Clinic
1,Itumeleng Clinic
1,Itumeleng Clinic
0.8889,Itumeleng Clinic
1,Itumeleng Clinic
1,Fauresmith Clinic
0.4444,Fauresmith Clinic
1,Fauresmith Clinic
0,Fauresmith Clinic
0,Fauresmith Clinic
0,Fauresmith Clinic
0.8182,Fauresmith Clinic
1,Fauresmith Clinic
0,Fauresmith Clinic
1,Fauresmith Clinic
0,Fauresmith Clinic
0,Fauresmith Clinic
1,Fauresmith Clinic
1,Fauresmith Clinic
0,Fauresmith Clinic
0,Fauresmith Clinic
0,Fauresmith Clinic
0.8,Fauresmith Clinic
1,Fauresmith Clinic
0,Fauresmith Clinic
1,Fauresmith Clinic
1,Fauresmith Clinic
0,Fauresmith Clinic
1,Fauresmith Clinic
0,Fauresmith Clinic
0,Fauresmith Clinic
0.9091,Fauresmith Clinic
0,Fauresmith Clinic
1,Fauresmith Clinic
1,Fauresmith Clinic
1,Fauresmith Clinic
1,Fauresmith Clinic
1,Fauresmith Clinic
0,Fauresmith Clinic
1,Fauresmith Clinic
1,Fauresmith Clinic
0,Fauresmith Clinic
1,Fauresmith Clinic
1,Fauresmith Clinic
0.5,Fauresmith Clinic
1,Fauresmith Clinic
0,Fauresmith Clinic
1,Fauresmith Clinic
0.875,Fauresmith Clinic
0,Fauresmith Clinic
0.8889,Fauresmith Clinic
0,Fauresmith Clinic
0,Fauresmith Clinic
0.5,W Mandela (Roux)
1,W Mandela (Roux)
1,W Mandela (Roux)
0,W Mandela (Roux)
0,W Mandela (Roux)
0,W Mandela (Roux)
1,W Mandela (Roux)
0.9048,W Mandela (Roux)
0,W Mandela (Roux)
1,W Mandela (Roux)
0,W Mandela (Roux)
1,W Mandela (Roux)
1,W Mandela (Roux)
0,W Mandela (Roux)
1,W Mandela (Roux)
0,W Mandela (Roux)
1,W Mandela (Roux)
0,W Mandela (Roux)
0.8889,W Mandela (Roux)
0.5,W Mandela (Roux)
0,W Mandela (Roux)
0,W Mandela (Roux)
0,W Mandela (Roux)
0,W Mandela (Roux)
0,W Mandela (Roux)
0,W Mandela (Roux)
1,W Mandela (Roux)
0.8485,W Mandela (Roux)
0,W Mandela (Roux)
0,W Mandela (Roux)
0.5806,W Mandela (Roux)
1,W Mandela (Roux)
1,W Mandela (Roux)
0,W Mandela (Roux)
0,W Mandela (Roux)
1,W Mandela (Roux)
0,W Mandela (Roux)
0,W Mandela (Roux)
1,W Mandela (Roux)
0.8333,W Mandela (Roux)
1,W Mandela (Roux)
0.4,W Mandela (Roux)
1,W Mandela (Roux)
1,W Mandela (Roux)
0,W Mandela (Roux)
1,W Mandela (Roux)
0,W Mandela (Roux)
1,W Mandela (Roux)
